t, ref_c, dmm_c, humidity, v
1690125109.212029, 24.0, 30.2635, 60.673, 9.999977719E+00
1690125110.6303878, 23.991, 30.2699, 60.667, 9.999983635E+00
1690125112.048888, 23.992, 30.2768, 60.679, 9.999982017E+00
1690125113.4673753, 23.982, 30.2842, 60.689, 9.999987676E+00
1690125114.8859854, 23.997, 30.29, 60.698, 9.999984422E+00
1690125116.3043556, 23.998, 30.2979, 60.707, 9.999983033E+00
1690125117.7227128, 23.983, 30.3035, 60.717, 9.999982269E+00
1690125119.1412778, 23.98, 30.3113, 60.728, 9.999989351E+00
1690125120.5595708, 23.986, 30.3174, 60.748, 9.999988885E+00
1690125121.9781454, 23.975, 30.3245, 60.763, 9.999986043E+00
1690125123.3966136, 23.975, 30.3305, 60.765, 9.999981014E+00
1690125124.8151288, 23.975, 30.3374, 60.78, 9.999988336E+00
1690125126.233474, 23.977, 30.3458, 60.782, 9.999986846E+00
1690125127.6519716, 23.968, 30.3525, 60.796, 9.999989820E+00
1690125129.0705473, 23.963, 30.3593, 60.802, 9.999981306E+00
1690125130.488881, 23.972, 30.3654, 60.811, 9.999983130E+00
1690125131.9073424, 23.971, 30.3726, 60.811, 9.999989971E+00
1690125133.3258243, 23.968, 30.379, 60.817, 9.999987784E+00
1690125134.7445545, 23.971, 30.3862, 60.83, 9.999982711E+00
1690125136.1626925, 23.965, 30.3934, 60.835, 9.999981520E+00
1690125137.5811815, 23.963, 30.3989, 60.843, 9.999987764E+00
1690125138.99973, 23.965, 30.4068, 60.852, 9.999985166E+00
1690125140.417914, 23.954, 30.4125, 60.86, 9.999992560E+00
1690125141.8365953, 23.956, 30.42, 60.867, 9.999990731E+00
1690125143.2550461, 23.949, 30.4262, 60.868, 9.999987521E+00
1690125144.673547, 23.945, 30.4334, 60.884, 9.999989144E+00
1690125146.0919123, 23.949, 30.4393, 60.895, 9.999979323E+00
1690125147.5104258, 23.943, 30.4467, 60.917, 9.999993684E+00
1690125148.928912, 23.939, 30.4543, 60.946, 9.999979883E+00
1690125150.3473892, 23.925, 30.4594, 60.957, 9.999987463E+00
1690125151.765701, 23.928, 30.4669, 60.972, 9.999990011E+00
1690125153.1844096, 23.917, 30.4725, 60.983, 9.999988934E+00
1690125154.602966, 23.9, 30.4803, 60.987, 9.999984724E+00
1690125156.0212965, 23.89, 30.4864, 60.994, 9.999994990E+00
1690125157.4397998, 23.887, 30.4936, 60.997, 9.999995320E+00
1690125158.858231, 23.873, 30.5009, 60.997, 9.999975576E+00
1690125160.2765002, 23.87, 30.5068, 60.998, 9.999986498E+00
1690125161.69529, 23.861, 30.5143, 61.005, 9.999989203E+00
1690125163.1137047, 23.85, 30.52, 61.001, 9.999987501E+00
1690125164.5319977, 23.839, 30.5277, 61.002, 9.999986281E+00
1690125165.9504707, 23.827, 30.533, 60.996, 9.999985857E+00
1690125167.3690426, 23.821, 30.5407, 61.006, 9.999987382E+00
1690125168.7874298, 23.812, 30.5462, 61.005, 9.999987029E+00
1690125170.2058413, 23.799, 30.5536, 61.017, 9.999981288E+00
1690125171.6242144, 23.778, 30.5606, 61.024, 9.999980480E+00
1690125173.0426955, 23.772, 30.5667, 61.035, 9.999982672E+00
1690125174.461182, 23.759, 30.5737, 61.044, 9.999988973E+00
1690125175.8797574, 23.75, 30.5796, 61.05, 9.999978498E+00
1690125177.2982323, 23.738, 30.587, 61.066, 9.999984414E+00
1690125178.7165818, 23.735, 30.5932, 61.091, 9.999989963E+00
1690125180.1349726, 23.723, 30.6, 61.101, 9.999983882E+00
1690125181.5536566, 23.72, 30.6075, 61.128, 9.999984936E+00
1690125182.9719086, 23.713, 30.6138, 61.152, 9.999983289E+00
1690125184.390346, 23.703, 30.6204, 61.163, 9.999988609E+00
1690125185.8088493, 23.709, 30.6264, 61.187, 9.999990120E+00
1690125187.227509, 23.694, 30.6332, 61.217, 9.999984069E+00
1690125188.6458886, 23.689, 30.6396, 61.232, 9.999991534E+00
1690125190.0642326, 23.674, 30.6469, 61.247, 9.999982023E+00
1690125191.482554, 23.664, 30.6521, 61.269, 9.999985266E+00
1690125192.9010367, 23.648, 30.6596, 61.289, 9.999980165E+00
1690125194.3196895, 23.637, 30.6673, 61.313, 9.999987773E+00
1690125195.738109, 23.629, 30.6725, 61.329, 9.999991699E+00
1690125197.1564233, 23.618, 30.6801, 61.347, 9.999981167E+00
1690125198.5749037, 23.605, 30.6863, 61.375, 9.999982349E+00
1690125199.9934108, 23.594, 30.6933, 61.388, 9.999985180E+00
1690125201.4117687, 23.588, 30.6988, 61.41, 9.999988013E+00
1690125202.8302872, 23.583, 30.7059, 61.426, 9.999986992E+00
1690125204.2487211, 23.569, 30.7135, 61.436, 9.999982756E+00
1690125205.6671255, 23.568, 30.7201, 61.468, 9.999986497E+00
1690125207.0856466, 23.565, 30.727, 61.483, 9.999986713E+00
1690125208.5041482, 23.571, 30.7329, 61.502, 9.999978129E+00
1690125209.9224844, 23.562, 30.7397, 61.508, 9.999987784E+00
1690125211.3409376, 23.557, 30.7461, 61.531, 9.999988456E+00
1690125212.7596085, 23.559, 30.7527, 61.542, 9.999987747E+00
1690125214.1779692, 23.554, 30.759, 61.555, 9.999985176E+00
1690125215.5963783, 23.55, 30.7659, 61.56, 9.999985506E+00
1690125217.0148025, 23.54, 30.7732, 61.565, 9.999983492E+00
1690125218.4332588, 23.537, 30.7788, 61.578, 9.999978447E+00
1690125219.8518357, 23.528, 30.786, 61.58, 9.999983309E+00
1690125221.2702951, 23.517, 30.7915, 61.589, 9.999985502E+00
1690125222.688687, 23.51, 30.7991, 61.593, 9.999977315E+00
1690125224.1071777, 23.507, 30.8045, 61.591, 9.999987840E+00
1690125225.5256877, 23.484, 30.812, 61.596, 9.999972988E+00
1690125226.944075, 23.494, 30.8189, 61.613, 9.999985328E+00
1690125228.3625631, 23.473, 30.8245, 61.618, 9.999978248E+00
1690125229.7808917, 23.474, 30.8321, 61.619, 9.999983311E+00
1690125231.1994655, 23.461, 30.838, 61.642, 9.999987354E+00
1690125232.6178577, 23.458, 30.8443, 61.653, 9.999980078E+00
1690125234.0361674, 23.455, 30.851, 61.665, 9.999986876E+00
1690125235.4547682, 23.45, 30.8577, 61.676, 9.999983310E+00
1690125236.8732507, 23.439, 30.8634, 61.681, 9.999984096E+00
1690125238.2915435, 23.435, 30.8708, 61.704, 9.999972582E+00
1690125239.710119, 23.438, 30.8778, 61.715, 9.999985562E+00
1690125241.128599, 23.429, 30.8835, 61.721, 9.999988721E+00
1690125242.5471337, 23.416, 30.8903, 61.732, 9.999983930E+00
1690125243.9654436, 23.406, 30.8959, 61.732, 9.999986279E+00
1690125245.3839364, 23.393, 30.9032, 61.742, 9.999987034E+00
1690125246.8026764, 23.384, 30.9093, 61.738, 9.999975905E+00
1690125248.2208395, 23.387, 30.9164, 61.751, 9.999982206E+00
1690125249.6394727, 23.373, 30.9227, 61.764, 9.999980985E+00
1690125251.0578153, 23.375, 30.9284, 61.769, 9.999984499E+00
1690125252.4763224, 23.363, 30.9358, 61.781, 9.999985539E+00
1690125253.8946717, 23.367, 30.9417, 61.799, 9.999987802E+00
1690125255.3131788, 23.361, 30.9486, 61.818, 9.999981407E+00
1690125256.7316184, 23.353, 30.9547, 61.833, 9.999984822E+00
1690125258.1500072, 23.343, 30.9612, 61.842, 9.999989159E+00
1690125259.5685067, 23.337, 30.9674, 61.846, 9.999991565E+00
1690125260.9870367, 23.326, 30.9745, 61.839, 9.999987359E+00
1690125262.40538, 23.329, 30.9814, 61.853, 9.999989511E+00
1690125263.823871, 23.323, 30.9871, 61.859, 9.999984780E+00
1690125265.2423267, 23.312, 30.994, 61.869, 9.999980274E+00
1690125266.6608648, 23.306, 31.0002, 61.873, 9.999983503E+00
1690125268.0792537, 23.304, 31.0073, 61.887, 9.999997410E+00
1690125269.497736, 23.306, 31.0125, 61.915, 9.999983595E+00
1690125270.9162145, 23.307, 31.0193, 61.934, 9.999978992E+00
1690125272.3345358, 23.297, 31.0269, 61.948, 9.999984893E+00
1690125273.753066, 23.294, 31.0322, 61.956, 9.999982920E+00
1690125275.171586, 23.294, 31.0395, 61.98, 9.999988851E+00
1690125276.5900915, 23.284, 31.0447, 61.983, 9.999978975E+00
1690125278.0086288, 23.281, 31.0514, 61.986, 9.999986924E+00
1690125279.4269438, 23.283, 31.0575, 61.986, 9.999992286E+00
1690125280.8456538, 23.278, 31.0645, 61.993, 9.999988848E+00
1690125282.2638886, 23.268, 31.0703, 61.983, 9.999979440E+00
1690125283.682246, 23.263, 31.0773, 61.982, 9.999988113E+00
1690125285.100941, 23.258, 31.0838, 61.978, 9.999985471E+00
1690125286.5193148, 23.246, 31.0891, 61.983, 9.999987634E+00
1690125287.9377646, 23.243, 31.0963, 61.98, 9.999981267E+00
1690125289.356423, 23.242, 31.1018, 61.983, 9.999977078E+00
1690125290.7747436, 23.222, 31.1087, 61.983, 9.999981160E+00
1690125292.1931136, 23.231, 31.1142, 61.99, 9.999983821E+00
1690125293.6116118, 23.216, 31.1213, 61.994, 9.999986637E+00
1690125295.0299518, 23.216, 31.1282, 62.003, 9.999988331E+00
1690125296.4484148, 23.211, 31.1341, 62.004, 9.999977246E+00
1690125297.8670402, 23.208, 31.1407, 62.007, 9.999987412E+00
1690125299.285335, 23.197, 31.1463, 62.003, 9.999992289E+00
1690125300.7039125, 23.188, 31.1535, 62.0, 9.999984573E+00
1690125302.1223185, 23.186, 31.1582, 62.004, 9.999984107E+00
1690125303.540651, 23.18, 31.1657, 62.012, 9.999982021E+00
1690125304.9591434, 23.182, 31.171, 62.011, 9.999985521E+00
1690125306.3777056, 23.17, 31.1784, 62.014, 9.999981698E+00
1690125307.7962155, 23.17, 31.1856, 62.014, 9.999980761E+00
1690125309.2145793, 23.167, 31.1909, 62.02, 9.999985670E+00
1690125310.6331196, 23.153, 31.1977, 62.01, 9.999983596E+00
1690125312.0515077, 23.144, 31.2034, 62.012, 9.999982123E+00
1690125313.4698703, 23.13, 31.2104, 62.008, 9.999994520E+00
1690125314.8884828, 23.131, 31.2156, 62.008, 9.999986347E+00
1690125316.3069832, 23.113, 31.2217, 62.019, 9.999981531E+00
1690125317.7251854, 23.116, 31.2291, 62.022, 9.999980424E+00
1690125319.1439726, 23.11, 31.2348, 62.033, 9.999981733E+00
1690125320.5625129, 23.101, 31.2412, 62.047, 9.999994390E+00
1690125321.980612, 23.105, 31.247, 62.054, 9.999975526E+00
1690125323.3991084, 23.09, 31.2541, 62.06, 9.999983574E+00
1690125324.817516, 23.088, 31.259, 62.069, 9.999987672E+00
1690125326.2361445, 23.079, 31.2661, 62.065, 9.999986963E+00
1690125327.6545076, 23.067, 31.2715, 62.08, 9.999984507E+00
1690125329.0728416, 23.067, 31.2785, 62.087, 9.999989528E+00
1690125330.4914954, 23.068, 31.2849, 62.096, 9.999989246E+00
1690125331.9098375, 23.064, 31.29, 62.098, 9.999983492E+00
1690125333.328342, 23.061, 31.2968, 62.102, 9.999982826E+00
1690125334.7468457, 23.07, 31.3021, 62.105, 9.999987662E+00
1690125336.165201, 23.061, 31.309, 62.107, 9.999982672E+00
1690125337.5836816, 23.061, 31.3151, 62.108, 9.999991189E+00
1690125339.0021374, 23.056, 31.321, 62.108, 9.999985576E+00
1690125340.420557, 23.052, 31.3278, 62.099, 9.999975001E+00
1690125341.8390856, 23.047, 31.3332, 62.097, 9.999984286E+00
1690125343.2575543, 23.041, 31.3403, 62.107, 9.999972362E+00
1690125344.6760864, 23.038, 31.3458, 62.105, 9.999985147E+00
1690125346.0943513, 23.027, 31.3524, 62.109, 9.999983926E+00
1690125347.5132194, 23.032, 31.3573, 62.121, 9.999993439E+00
1690125348.9313662, 23.021, 31.3646, 62.119, 9.999977093E+00
1690125350.349757, 23.019, 31.3694, 62.121, 9.999981163E+00
1690125351.7682836, 23.019, 31.3761, 62.127, 9.999986908E+00
1690125353.1868882, 23.006, 31.3839, 62.117, 9.999988316E+00
1690125354.605031, 23.004, 31.3892, 62.133, 9.999980786E+00
1690125356.0236557, 23.004, 31.3952, 62.13, 9.999989358E+00
1690125357.4421268, 22.993, 31.4009, 62.127, 9.999980165E+00
1690125358.8604467, 23.003, 31.4074, 62.138, 9.999990631E+00
1690125360.2789657, 22.99, 31.4126, 62.133, 9.999985443E+00
1690125361.6974142, 22.989, 31.4198, 62.14, 9.999996691E+00
1690125363.1157625, 22.98, 31.4264, 62.152, 9.999987508E+00
1690125364.53433, 22.983, 31.4312, 62.153, 9.999987537E+00
1690125365.9528332, 22.98, 31.4383, 62.146, 9.999987468E+00
1690125367.3710756, 22.967, 31.4433, 62.139, 9.999986660E+00
1690125368.789697, 22.967, 31.4501, 62.147, 9.999980761E+00
1690125370.2081869, 22.949, 31.4556, 62.156, 9.999981235E+00
1690125371.6266766, 22.946, 31.4626, 62.15, 9.999978268E+00
1690125373.0449946, 22.937, 31.4678, 62.152, 9.999987906E+00
1690125374.4635158, 22.935, 31.474, 62.156, 9.999985063E+00
1690125375.881966, 22.932, 31.4807, 62.162, 9.999984298E+00
1690125377.3003826, 22.931, 31.4865, 62.166, 9.999990470E+00
1690125378.7188764, 22.918, 31.4932, 62.164, 9.999979995E+00
1690125380.1373317, 22.92, 31.4988, 62.163, 9.999996829E+00
1690125381.5559042, 22.912, 31.5052, 62.17, 9.999987420E+00
1690125382.9742508, 22.898, 31.5102, 62.163, 9.999991076E+00
1690125384.3926837, 22.903, 31.5166, 62.166, 9.999981510E+00
1690125385.8111567, 22.9, 31.5232, 62.168, 9.999991164E+00
1690125387.229484, 22.894, 31.5287, 62.174, 9.999984029E+00
1690125388.6482468, 22.892, 31.5353, 62.18, 9.999981231E+00
1690125390.0669968, 22.888, 31.5397, 62.187, 9.999982485E+00
1690125391.485121, 22.874, 31.5469, 62.194, 9.999987161E+00
1690125392.9036462, 22.88, 31.5522, 62.201, 9.999989935E+00
1690125394.3221653, 22.877, 31.5583, 62.221, 9.999991018E+00
1690125395.7406795, 22.877, 31.5641, 62.244, 9.999980330E+00
1690125397.1589215, 22.877, 31.5709, 62.257, 9.999979750E+00
1690125398.5775285, 22.866, 31.577, 62.269, 9.999984769E+00
1690125399.9959707, 22.868, 31.5823, 62.279, 9.999983266E+00
1690125401.4144194, 22.854, 31.5888, 62.283, 9.999984363E+00
1690125402.8325946, 22.852, 31.5941, 62.285, 9.999984691E+00
1690125404.2512355, 22.855, 31.6003, 62.29, 9.999983572E+00
1690125405.6698918, 22.862, 31.6059, 62.305, 9.999983221E+00
1690125407.0880702, 22.866, 31.6123, 62.306, 9.999984274E+00
1690125408.5064552, 22.872, 31.6194, 62.318, 9.999981062E+00
1690125409.924926, 22.872, 31.6243, 62.319, 9.999986353E+00
1690125411.3434818, 22.871, 31.6305, 62.317, 9.999979461E+00
1690125412.761893, 22.874, 31.6362, 62.311, 9.999985079E+00
1690125414.1803083, 22.871, 31.6422, 62.297, 9.999974107E+00
1690125415.5988977, 22.875, 31.6478, 62.301, 9.999986179E+00
1690125417.0172305, 22.852, 31.6546, 62.295, 9.999977836E+00
1690125418.4356625, 22.836, 31.6599, 62.287, 9.999978193E+00
1690125419.8542013, 22.828, 31.666, 62.278, 9.999998623E+00
1690125421.2725039, 22.811, 31.6718, 62.261, 9.999980428E+00
1690125422.691038, 22.806, 31.6773, 62.258, 9.999984639E+00
1690125424.1095588, 22.793, 31.6838, 62.268, 9.999992077E+00
1690125425.5280497, 22.783, 31.6885, 62.269, 9.999994426E+00
1690125426.9463866, 22.78, 31.695, 62.284, 9.999988598E+00
1690125428.3648722, 22.768, 31.6999, 62.291, 9.999983797E+00
1690125429.7836838, 22.771, 31.7068, 62.307, 9.999980702E+00
1690125431.201735, 22.77, 31.7129, 62.304, 9.999985564E+00
1690125432.620395, 22.762, 31.7185, 62.306, 9.999983916E+00
1690125434.038719, 22.747, 31.7243, 62.309, 9.999992335E+00
1690125435.4574828, 22.754, 31.7297, 62.305, 9.999982826E+00
1690125436.8757014, 22.742, 31.7359, 62.298, 9.999990760E+00
1690125438.2940922, 22.742, 31.7409, 62.303, 9.999982831E+00
1690125439.7126777, 22.728, 31.7472, 62.303, 9.999988092E+00
1690125441.1309235, 22.719, 31.7526, 62.303, 9.999979320E+00
1690125442.5494351, 22.708, 31.7588, 62.294, 9.999977928E+00
1690125443.9679399, 22.698, 31.7649, 62.303, 9.999982197E+00
1690125445.3862789, 22.702, 31.7703, 62.294, 9.999980851E+00
1690125446.8048458, 22.693, 31.7764, 62.301, 9.999978848E+00
1690125448.2233226, 22.684, 31.7812, 62.31, 9.999986653E+00
1690125449.641858, 22.682, 31.7878, 62.314, 9.999984169E+00
1690125451.0602355, 22.687, 31.7928, 62.318, 9.999980162E+00
1690125452.478646, 22.695, 31.7986, 62.323, 9.999978927E+00
1690125453.89712, 22.682, 31.8048, 62.33, 9.999983961E+00
1690125455.3155215, 22.679, 31.8105, 62.331, 9.999991682E+00
1690125456.7340355, 22.685, 31.8168, 62.335, 9.999987575E+00
1690125458.1525521, 22.675, 31.8216, 62.348, 9.999990010E+00
1690125459.5708766, 22.684, 31.8276, 62.362, 9.999987765E+00
1690125460.9893377, 22.667, 31.8332, 62.387, 9.999990029E+00
1690125462.407879, 22.684, 31.839, 62.42, 9.999988952E+00
1690125463.8262415, 22.673, 31.8438, 62.452, 9.999988596E+00
1690125465.2447243, 22.682, 31.8502, 62.492, 9.999988412E+00
