t, ref_c, dmm_c, humidity, v
1689101665.4979537, 24.357, 40.7195, 53.546, 7.045670092E+00
1689101666.916465, 24.355, 40.7192, 53.541, 7.045670135E+00
1689101668.3348022, 24.343, 40.7197, 53.55, 7.045670255E+00
1689101669.7532861, 24.337, 40.7193, 53.546, 7.045669453E+00
1689101671.171892, 24.34, 40.7195, 53.55, 7.045668891E+00
1689101672.5901291, 24.345, 40.7186, 53.555, 7.045669636E+00
1689101674.0086477, 24.337, 40.7187, 53.547, 7.045667833E+00
1689101675.4271348, 24.328, 40.7188, 53.552, 7.045668831E+00
1689101676.8454742, 24.328, 40.7181, 53.559, 7.045669853E+00
1689101678.264012, 24.316, 40.7181, 53.559, 7.045669736E+00
1689101679.682771, 24.317, 40.718, 53.558, 7.045670484E+00
1689101681.1008618, 24.314, 40.7172, 53.561, 7.045670787E+00
1689101682.5193648, 24.306, 40.7172, 53.564, 7.045670734E+00
1689101683.9378643, 24.306, 40.7167, 53.568, 7.045672111E+00
1689101685.3563914, 24.3, 40.7173, 53.569, 7.045669460E+00
1689101686.7747097, 24.306, 40.7171, 53.572, 7.045670072E+00
1689101688.1932354, 24.3, 40.7171, 53.574, 7.045669267E+00
1689101689.6115549, 24.293, 40.717, 53.571, 7.045668718E+00
1689101691.0300615, 24.3, 40.7161, 53.577, 7.045670345E+00
1689101692.4485788, 24.296, 40.7161, 53.574, 7.045670362E+00
1689101693.8671024, 24.297, 40.7163, 53.574, 7.045668538E+00
1689101695.2853925, 24.297, 40.7161, 53.579, 7.045668848E+00
1689101696.7039378, 24.283, 40.7163, 53.581, 7.045669313E+00
1689101698.122435, 24.288, 40.716, 53.58, 7.045668868E+00
1689101699.5409636, 24.274, 40.7155, 53.576, 7.045670501E+00
1689101700.959345, 24.279, 40.7157, 53.576, 7.045669131E+00
1689101702.3778117, 24.277, 40.7152, 53.582, 7.045669709E+00
1689101703.7962847, 24.277, 40.7153, 53.584, 7.045668359E+00
1689101705.2146397, 24.274, 40.7155, 53.583, 7.045668891E+00
1689101706.6331453, 24.265, 40.7145, 53.581, 7.045670362E+00
1689101708.0516696, 24.268, 40.7143, 53.583, 7.045668934E+00
1689101709.4701622, 24.264, 40.7143, 53.579, 7.045670072E+00
1689101710.8885312, 24.257, 40.7147, 53.584, 7.045589270E+00
1689101712.3070228, 24.244, 40.7144, 53.571, 7.045670402E+00
1689101713.7255332, 24.253, 40.7143, 53.57, 7.045669131E+00
1689101715.14385, 24.247, 40.7135, 53.566, 7.045669224E+00
1689101716.5623636, 24.239, 40.714, 53.57, 7.045669407E+00
1689101717.980876, 24.239, 40.7145, 53.566, 7.045670192E+00
1689101719.399376, 24.244, 40.7135, 53.57, 7.045670092E+00
1689101720.8177178, 24.233, 40.714, 53.57, 7.045629039E+00
1689101722.2362196, 24.237, 40.7139, 53.567, 7.045669131E+00
1689101723.654742, 24.228, 40.713, 53.57, 7.045669487E+00
1689101725.0732377, 24.221, 40.7131, 53.579, 7.045669896E+00
1689101726.4915862, 24.228, 40.7127, 53.58, 7.045669154E+00
1689101727.9100947, 24.214, 40.7125, 53.586, 7.045670245E+00
1689101729.3285875, 24.211, 40.7129, 53.577, 7.045670834E+00
1689101730.74693, 24.219, 40.712, 53.577, 7.045669956E+00
1689101732.1654425, 24.214, 40.7123, 53.574, 7.045668625E+00
1689101733.583934, 24.216, 40.712, 53.572, 7.045669583E+00
1689101735.0022888, 24.211, 40.713, 53.577, 7.045669570E+00
