t, ref_c, humidity, v_ch1, v_ch2
1689038358.0583577, 24.547, 52.877, 9.999582291e+00, 9.999694824e+00
1689038359.476683, 24.536, 52.883, 9.999588013e+00, 9.999690056e+00
1689038360.8952756, 24.53, 52.883, 9.999585152e+00, 9.999687195e+00
1689038362.3137162, 24.541, 52.891, 9.999568939e+00, 9.999680519e+00
1689038363.7320626, 24.538, 52.888, 9.999585152e+00, 9.999694824e+00
1689038365.1505616, 24.532, 52.892, 9.999585152e+00, 9.999704361e+00
1689038366.569044, 24.533, 52.89, 9.999594688e+00, 9.999696732e+00
1689038367.9873967, 24.535, 52.898, 9.999568939e+00, 9.999696732e+00
1689038369.405888, 24.53, 52.908, 9.999572754e+00, 9.999668121e+00
1689038370.8244882, 24.542, 52.914, 9.999549866e+00, 9.999666214e+00
1689038372.2427623, 24.536, 52.913, 9.999566078e+00, 9.999668121e+00
1689038373.6612675, 24.53, 52.921, 9.999561310e+00, 9.999673843e+00
1689038375.0797517, 24.535, 52.921, 9.999568939e+00, 9.999677658e+00
1689038376.4981089, 24.535, 52.925, 9.999566078e+00, 9.999664307e+00
1689038377.9166257, 24.542, 52.924, 9.999570847e+00, 9.999673843e+00
1689038379.3351214, 24.545, 52.924, 9.999575615e+00, 9.999683380e+00
1689038380.7536387, 24.542, 52.927, 9.999566078e+00, 9.999675751e+00
1689038382.1719735, 24.544, 52.938, 9.999556541e+00, 9.999666214e+00
1689038383.590499, 24.544, 52.94, 9.999582291e+00, 9.999683380e+00
1689038385.0089874, 24.526, 52.939, 9.999599457e+00, 9.999715805e+00
1689038386.4273856, 24.541, 52.941, 9.999570847e+00, 9.999709129e+00
1689038387.845836, 24.535, 52.944, 9.999591827e+00, 9.999718666e+00
1689038389.264332, 24.539, 52.951, 9.999578476e+00, 9.999718666e+00
1689038390.682841, 24.539, 52.952, 9.999572754e+00, 9.999725342e+00
1689038392.1012106, 24.541, 52.956, 9.999589920e+00, 9.999715805e+00
1689038393.5196788, 24.549, 52.957, 9.999582291e+00, 9.999721527e+00
1689038394.9381812, 24.55, 52.962, 9.999559402e+00, 9.999731064e+00
1689038396.3565319, 24.541, 52.956, 9.999572754e+00, 9.999723434e+00
1689038397.7750373, 24.532, 52.963, 9.999575615e+00, 9.999725342e+00
1689038399.1935396, 24.539, 52.966, 9.999561310e+00, 9.999728203e+00
1689038400.6120226, 24.545, 52.974, 9.999578476e+00, 9.999702454e+00
1689038402.0303695, 24.538, 52.976, 9.999585152e+00, 9.999702454e+00
1689038403.4488964, 24.544, 52.982, 9.999591827e+00, 9.999692917e+00
1689038404.8674066, 24.542, 52.986, 9.999589920e+00, 9.999699593e+00
1689038406.2857912, 24.532, 52.985, 9.999588013e+00, 9.999702454e+00
1689038407.7042372, 24.541, 52.983, 9.999585152e+00, 9.999694824e+00
1689038409.1227393, 24.539, 52.99, 9.999575615e+00, 9.999699593e+00
1689038410.5411751, 24.533, 52.995, 9.999588013e+00, 9.999699593e+00
1689038411.9595797, 24.529, 53.002, 9.999585152e+00, 9.999713898e+00
1689038413.3781073, 24.533, 53.002, 9.999585152e+00, 9.999706268e+00
1689038414.7964804, 24.538, 53.008, 9.999547005e+00, 9.999692917e+00
1689038416.2149432, 24.539, 53.016, 9.999549866e+00, 9.999696732e+00
1689038417.6334555, 24.533, 53.014, 9.999570847e+00, 9.999680519e+00
1689038419.051837, 24.539, 53.017, 9.999559402e+00, 9.999694824e+00
1689038420.4702957, 24.532, 53.026, 9.999559402e+00, 9.999702454e+00
1689038421.8888648, 24.526, 53.03, 9.999559402e+00, 9.999677658e+00
1689038423.3071516, 24.527, 53.031, 9.999553680e+00, 9.999694824e+00
1689038424.725695, 24.526, 53.038, 9.999547005e+00, 9.999702454e+00
1689038426.1441705, 24.53, 53.041, 9.999553680e+00, 9.999690056e+00
1689038427.5626588, 24.524, 53.037, 9.999553680e+00, 9.999699593e+00
1689038428.9810421, 24.529, 53.047, 9.999561310e+00, 9.999702454e+00
1689038430.3995695, 24.53, 53.055, 9.999572754e+00, 9.999711990e+00
1689038431.818043, 24.529, 53.057, 9.999582291e+00, 9.999694824e+00
1689038433.2363582, 24.535, 53.065, 9.999589920e+00, 9.999692917e+00
1689038434.654875, 24.535, 53.068, 9.999589920e+00, 9.999683380e+00
1689038436.0733917, 24.535, 53.068, 9.999585152e+00, 9.999685287e+00
1689038437.4917328, 24.536, 53.071, 9.999578476e+00, 9.999694824e+00
