t,ref_c,humidity,dmm_c,r_ohm
1689547446.8136592,24.688,55.118,37.9403,1.000018701E+03
1689547448.2319875,24.697,55.13,37.9403,1.000018856E+03
1689547449.6505,24.691,55.14,37.9409,1.000018781E+03
1689547451.0689697,24.691,55.15,37.9409,1.000018768E+03
1689547452.4874399,24.683,55.16,37.9409,1.000018819E+03
1689547453.9059057,24.691,55.166,37.9409,1.000018978E+03
1689547455.3246257,24.691,55.19,37.9417,1.000018880E+03
1689547456.7428682,24.693,55.194,37.9417,1.000019049E+03
1689547458.1611912,24.693,55.202,37.9417,1.000018906E+03
1689547459.5797079,24.699,55.219,37.9417,1.000018988E+03
1689547460.9982092,24.693,55.22,37.9424,1.000018818E+03
1689547462.416806,24.694,55.228,37.9424,1.000018960E+03
1689547463.8351133,24.688,55.241,37.9424,1.000019007E+03
1689547465.253689,24.686,55.244,37.9424,1.000018970E+03
1689547466.672208,24.691,55.254,37.9434,1.000018875E+03
1689547468.090528,24.689,55.255,37.9434,1.000018924E+03
1689547469.5090117,24.691,55.261,37.9434,1.000018837E+03
1689547470.927474,24.691,55.277,37.9434,1.000018797E+03
1689547472.3460822,24.693,55.281,37.944,1.000019001E+03
1689547473.7645686,24.693,55.289,37.944,1.000019056E+03
1689547475.1829383,24.699,55.298,37.944,1.000018859E+03
1689547476.6013608,24.691,55.292,37.944,1.000019091E+03
1689547478.019986,24.689,55.308,37.945,1.000018850E+03
1689547479.4383066,24.693,55.31,37.945,1.000018845E+03
1689547480.8568199,24.689,55.319,37.945,1.000018887E+03
1689547482.275286,24.689,55.319,37.945,1.000019212E+03
1689547483.694223,24.688,55.325,37.9463,1.000018971E+03
1689547485.1121976,24.699,55.332,37.9463,1.000019197E+03
1689547486.5306876,24.691,55.332,37.9463,1.000019029E+03
1689547487.9490514,24.694,55.337,37.9463,1.000019029E+03
1689547489.3674753,24.688,55.344,37.9473,1.000018898E+03
1689547490.7859359,24.696,55.339,37.9473,1.000018989E+03
1689547492.2045307,24.696,55.351,37.9473,1.000019066E+03
1689547493.6229913,24.691,55.357,37.9473,1.000019248E+03
1689547495.0414128,24.694,55.358,37.9485,1.000018898E+03
1689547496.4598699,24.691,55.369,37.9485,1.000019169E+03
1689547497.878348,24.693,55.364,37.9485,1.000019114E+03
1689547499.2968612,24.686,55.371,37.9485,1.000019151E+03
1689547500.7151597,24.693,55.373,37.9491,1.000018992E+03
1689547502.1337903,24.691,55.383,37.9491,1.000019258E+03
1689547503.5521474,24.691,55.38,37.9491,1.000019157E+03
1689547504.9707427,24.685,55.375,37.9491,1.000019305E+03
1689547506.3890543,24.688,55.383,37.9503,1.000019197E+03
1689547507.8075557,24.688,55.387,37.9503,1.000019162E+03
1689547509.2260802,24.694,55.392,37.9503,1.000019207E+03
1689547510.6446376,24.694,55.396,37.9503,1.000019291E+03
1689547512.0631933,24.693,55.393,37.9508,1.000018971E+03
1689547513.4819589,24.688,55.4,37.9508,1.000019146E+03
1689547514.9000485,24.693,55.398,37.9508,1.000019109E+03
1689547516.3186882,24.686,55.395,37.9508,1.000019011E+03
1689547517.7368937,24.699,55.405,37.9522,1.000019059E+03
1689547519.155268,24.693,55.404,37.9522,1.000019206E+03
1689547520.5738442,24.693,55.404,37.9522,1.000018889E+03
1689547521.9924114,24.696,55.414,37.9522,1.000019064E+03
1689547523.4107425,24.7,55.414,37.9521,1.000018939E+03
1689547524.8292012,24.691,55.409,37.9521,1.000019233E+03
1689547526.247755,24.694,55.419,37.9521,1.000019100E+03
1689547527.6662245,24.686,55.417,37.9521,1.000019238E+03
1689547529.0845642,24.694,55.421,37.9532,1.000018962E+03
1689547530.5030694,24.697,55.419,37.9532,1.000019037E+03
1689547531.9216456,24.694,55.421,37.9532,1.000018973E+03
1689547533.3398764,24.693,55.428,37.9532,1.000018953E+03
1689547534.7584362,24.699,55.429,37.9538,1.000019154E+03
1689547536.1769965,24.691,55.436,37.9538,1.000019002E+03
1689547537.5954645,24.693,55.438,37.9538,1.000018927E+03
1689547539.014007,24.696,55.438,37.9538,1.000019102E+03
1689547540.432404,24.696,55.44,37.9543,1.000019038E+03
1689547541.850859,24.694,55.437,37.9543,1.000018994E+03
1689547543.2695649,24.694,55.441,37.9543,1.000018765E+03
1689547544.6877048,24.699,55.443,37.9543,1.000018915E+03
1689547546.1062384,24.691,55.437,37.9553,1.000018894E+03
1689547547.5247521,24.696,55.44,37.9553,1.000018901E+03
1689547548.9433222,24.694,55.443,37.9553,1.000018884E+03
1689547550.36171,24.691,55.438,37.9553,1.000019027E+03
1689547551.779999,24.7,55.44,37.9558,1.000018904E+03
1689547553.1984963,24.691,55.442,37.9558,1.000018857E+03
1689547554.6173038,24.693,55.449,37.9558,1.000018861E+03
1689547556.035409,24.694,55.441,37.9558,1.000018978E+03
1689547557.4541032,24.693,55.445,37.9564,1.000018996E+03
1689547558.8726265,24.702,55.441,37.9564,1.000019034E+03
1689547560.291186,24.702,55.449,37.9564,1.000019032E+03
1689547561.7093456,24.697,55.442,37.9564,1.000019120E+03
1689547563.1278996,24.697,55.456,37.957,1.000018963E+03
1689547564.5463712,24.694,55.455,37.957,1.000018890E+03
1689547565.9648547,24.697,55.452,37.957,1.000018962E+03
1689547567.3834598,24.694,55.448,37.957,1.000018990E+03
1689547568.8018625,24.693,55.453,37.9576,1.000018817E+03
1689547570.2202172,24.691,55.452,37.9576,1.000018895E+03
1689547571.6387227,24.702,55.462,37.9576,1.000018806E+03
1689547573.0570538,24.699,55.454,37.9576,1.000019175E+03
1689547574.4755995,24.694,55.459,37.9581,1.000018895E+03
1689547575.894539,24.699,55.463,37.9581,1.000019156E+03
1689547577.3126814,24.693,55.45,37.9581,1.000018823E+03
1689547578.7308626,24.691,55.449,37.9581,1.000019236E+03
1689547580.1494637,24.694,55.457,37.9587,1.000019123E+03
1689547581.5677602,24.696,55.454,37.9587,1.000019240E+03
1689547582.986323,24.696,55.459,37.9587,1.000018984E+03
1689547584.404882,24.697,55.462,37.9587,1.000019250E+03
1689547585.8232405,24.697,55.461,37.9596,1.000019147E+03
1689547587.2417974,24.699,55.465,37.9596,1.000019274E+03
1689547588.6603422,24.699,55.456,37.9596,1.000019143E+03
1689547590.0786452,24.691,55.457,37.9596,1.000019332E+03
1689547591.4971097,24.691,55.463,37.9602,1.000019236E+03
1689547592.9154792,24.702,55.468,37.9602,1.000019197E+03
1689547594.3340771,24.694,55.465,37.9602,1.000019138E+03
1689547595.7525647,24.703,55.471,37.9602,1.000019157E+03
1689547597.1710367,24.694,55.474,37.9605,1.000018949E+03
1689547598.589574,24.697,55.47,37.9605,1.000019120E+03
1689547600.0078323,24.699,55.473,37.9605,1.000018958E+03
1689547601.4263542,24.696,55.463,37.9605,1.000019094E+03
1689547602.844818,24.691,55.468,37.9609,1.000019056E+03
1689547604.2634873,24.696,55.473,37.9609,1.000019042E+03
1689547605.68179,24.696,55.465,37.9609,1.000019067E+03
1689547607.1003778,24.697,55.47,37.9609,1.000018998E+03
1689547608.5187051,24.696,55.468,37.9614,1.000018942E+03
1689547609.93734,24.696,55.467,37.9614,1.000019031E+03
1689547611.3556795,24.696,55.468,37.9614,1.000018986E+03
1689547612.7740953,24.696,55.465,37.9614,1.000019036E+03
1689547614.1925783,24.699,55.469,37.962,1.000019009E+03
1689547615.6110404,24.703,55.467,37.962,1.000019055E+03
1689547617.0295172,24.696,55.471,37.962,1.000018990E+03
1689547618.4478955,24.7,55.465,37.962,1.000019081E+03
1689547619.8664074,24.696,55.468,37.9625,1.000018963E+03
1689547621.2847931,24.702,55.474,37.9625,1.000018960E+03
1689547622.7033966,24.691,55.466,37.9625,1.000018949E+03
1689547624.1218848,24.697,55.472,37.9625,1.000018888E+03
1689547625.540417,24.702,55.472,37.963,1.000018834E+03
1689547626.9586897,24.699,55.467,37.963,1.000019116E+03
1689547628.3773184,24.702,55.472,37.963,1.000018906E+03
1689547629.7957835,24.697,55.472,37.963,1.000018853E+03
1689547631.214352,24.697,55.466,37.9633,1.000018962E+03
1689547632.6326213,24.697,55.466,37.9633,1.000018983E+03
1689547634.051417,24.703,55.466,37.9633,1.000018866E+03
1689547635.4696944,24.7,55.467,37.9633,1.000019041E+03
1689547636.8883495,24.697,55.473,37.9641,1.000018851E+03
1689547638.3065214,24.702,55.467,37.9641,1.000018965E+03
1689547639.7252247,24.7,55.473,37.9641,1.000018914E+03
1689547641.1435714,24.7,55.467,37.9641,1.000018919E+03
