t, ref_c, humidity, v_ch1, v_ch2
1689078952.7960544, 23.738, 54.077, 9.999585152e+00, 9.999759674e+00
1689078954.2145946, 23.747, 54.067, 9.999580383e+00, 9.999742508e+00
1689078955.6329033, 23.747, 54.068, 9.999591827e+00, 9.999752045e+00
1689078957.0514066, 23.75, 54.069, 9.999572754e+00, 9.999750137e+00
1689078958.4699175, 23.749, 54.065, 9.999589920e+00, 9.999747276e+00
1689078959.888229, 23.74, 54.061, 9.999594688e+00, 9.999737740e+00
1689078961.3070269, 23.744, 54.072, 9.999608994e+00, 9.999750137e+00
1689078962.7253013, 23.736, 54.064, 9.999599457e+00, 9.999753952e+00
1689078964.14356, 23.735, 54.069, 9.999591827e+00, 9.999761581e+00
1689078965.5621347, 23.741, 54.066, 9.999589920e+00, 9.999766350e+00
1689078966.9806483, 23.735, 54.074, 9.999585152e+00, 9.999771118e+00
1689078968.399107, 23.738, 54.074, 9.999591827e+00, 9.999766350e+00
1689078969.8176606, 23.741, 54.079, 9.999607086e+00, 9.999769211e+00
1689078971.2359464, 23.736, 54.081, 9.999608994e+00, 9.999771118e+00
1689078972.6544602, 23.741, 54.078, 9.999604225e+00, 9.999769211e+00
1689078974.0729895, 23.741, 54.09, 9.999607086e+00, 9.999769211e+00
1689078975.491269, 23.733, 54.087, 9.999601364e+00, 9.999792099e+00
1689078976.9097638, 23.738, 54.085, 9.999594688e+00, 9.999788284e+00
1689078978.328281, 23.738, 54.089, 9.999582291e+00, 9.999775887e+00
1689078979.746845, 23.736, 54.089, 9.999575615e+00, 9.999769211e+00
1689078981.1651223, 23.75, 54.088, 9.999578476e+00, 9.999766350e+00
1689078982.583641, 23.74, 54.089, 9.999582291e+00, 9.999771118e+00
1689078984.0021803, 23.746, 54.087, 9.999575615e+00, 9.999771118e+00
1689078985.4206705, 23.749, 54.089, 9.999580383e+00, 9.999788284e+00
1689078986.8389816, 23.741, 54.085, 9.999575615e+00, 9.999766350e+00
1689078988.2575204, 23.752, 54.093, 9.999578476e+00, 9.999769211e+00
1689078989.6759982, 23.744, 54.086, 9.999585152e+00, 9.999778748e+00
1689078991.0945342, 23.752, 54.089, 9.999594688e+00, 9.999785423e+00
1689078992.512836, 23.749, 54.083, 9.999594688e+00, 9.999782562e+00
1689078993.9313107, 23.743, 54.079, 9.999575615e+00, 9.999775887e+00
1689078995.3498118, 23.743, 54.086, 9.999568939e+00, 9.999780655e+00
1689078996.7684255, 23.75, 54.088, 9.999572754e+00, 9.999756813e+00
1689078998.18668, 23.758, 54.092, 9.999589920e+00, 9.999773026e+00
1689078999.605157, 23.749, 54.089, 9.999582291e+00, 9.999792099e+00
1689079001.0237794, 23.744, 54.093, 9.999570847e+00, 9.999780655e+00
