t, ref_c, humidity, v
1689104141.6472745, 24.057, 52.503, 1.000052452e+01
1689104143.065732, 24.054, 52.491, 1.000037575e+01
1689104144.4841275, 24.058, 52.5, 1.000048447e+01
1689104145.9026291, 24.054, 52.498, 1.000046444e+01
1689104147.3210032, 24.061, 52.496, 1.000027943e+01
1689104148.7395172, 24.06, 52.497, 1.000015736e+01
1689104150.1579955, 24.061, 52.5, 1.000016785e+01
1689104151.5765698, 24.064, 52.504, 1.000017548e+01
1689104152.9948537, 24.072, 52.504, 1.000040340e+01
1689104154.4135737, 24.063, 52.5, 1.000016022e+01
1689104155.832129, 24.07, 52.499, 1.000014496e+01
1689104157.250237, 24.061, 52.498, 1.000038528e+01
1689104158.6686492, 24.055, 52.497, 1.000017166e+01
1689104160.0873656, 24.052, 52.497, 1.000020599e+01
1689104161.50556, 24.051, 52.491, 1.000022793e+01
1689104162.9240682, 24.043, 52.485, 1.000041008e+01
1689104164.3425596, 24.046, 52.487, 1.000057220e+01
1689104165.7609143, 24.034, 52.488, 1.000047970e+01
1689104167.179432, 24.041, 52.497, 1.000060654e+01
1689104168.5979462, 24.037, 52.487, 1.000062370e+01
1689104170.0164945, 24.043, 52.492, 1.000052166e+01
1689104171.4347684, 24.044, 52.487, 1.000039101e+01
1689104172.8535001, 24.041, 52.489, 1.000040245e+01
1689104174.271796, 24.035, 52.486, 1.000038910e+01
1689104175.6901577, 24.037, 52.483, 1.000051308e+01
1689104177.1086245, 24.026, 52.48, 1.000062466e+01
1689104178.5271142, 24.026, 52.484, 1.000045013e+01
1689104179.9455059, 24.029, 52.474, 1.000032330e+01
1689104181.364192, 24.025, 52.472, 1.000043106e+01
1689104182.7825048, 24.026, 52.465, 1.000042725e+01
1689104184.200844, 24.017, 52.467, 1.000039864e+01
1689104185.6193438, 24.021, 52.465, 1.000039673e+01
1689104187.0378547, 24.018, 52.459, 1.000034237e+01
1689104188.4562829, 24.025, 52.465, 1.000018597e+01
1689104189.874733, 24.021, 52.456, 1.000017357e+01
1689104191.2931914, 24.025, 52.46, 1.000014496e+01
1689104192.7117438, 24.02, 52.467, 1.000035381e+01
1689104194.1300707, 24.018, 52.461, 1.000010109e+01
1689104195.5489295, 24.026, 52.473, 1.000034904e+01
1689104196.9671183, 24.023, 52.473, 1.000022221e+01
1689104198.3854656, 24.017, 52.48, 1.000011730e+01
1689104199.8039634, 24.025, 52.497, 1.000020409e+01
1689104201.2224488, 24.021, 52.499, 1.000021553e+01
1689104202.640769, 24.018, 52.526, 1.000016689e+01
1689104204.0592825, 24.021, 52.535, 1.000010681e+01
1689104205.477809, 24.021, 52.552, 1.000018692e+01
1689104206.8961327, 24.028, 52.574, 1.000022125e+01
1689104208.3146162, 24.028, 52.598, 1.000033951e+01
1689104209.7331257, 24.032, 52.608, 1.000021553e+01
1689104211.1518698, 24.032, 52.63, 9.999843597e+00
1689104212.569953, 24.041, 52.646, 9.999814034e+00
1689104213.9887972, 24.041, 52.655, 9.999784470e+00
1689104215.4070818, 24.046, 52.68, 9.999867439e+00
1689104216.8253725, 24.054, 52.694, 9.999771118e+00
1689104218.2438273, 24.047, 52.709, 1.000011826e+01
1689104219.6623442, 24.052, 52.738, 1.000014019e+01
1689104221.0807164, 24.051, 52.751, 1.000012970e+01
1689104222.4991884, 24.058, 52.783, 1.000024223e+01
1689104223.917711, 24.047, 52.8, 1.000037766e+01
1689104225.336064, 24.044, 52.823, 1.000043106e+01
1689104226.7545803, 24.054, 52.83, 1.000054646e+01
1689104228.1730878, 24.046, 52.855, 1.000054550e+01
1689104229.5916524, 24.052, 52.876, 1.000050354e+01
1689104231.0099452, 24.06, 52.89, 1.000055313e+01
1689104232.428426, 24.055, 52.908, 1.000051212e+01
1689104233.8472168, 24.06, 52.941, 1.000060940e+01
1689104235.2652726, 24.067, 52.97, 1.000035191e+01
1689104236.683797, 24.063, 52.998, 1.000040913e+01
1689104238.1022873, 24.066, 53.024, 1.000030708e+01
1689104239.5206182, 24.064, 53.035, 1.000039577e+01
1689104240.939118, 24.061, 53.066, 1.000023651e+01
1689104242.3577795, 24.067, 53.079, 1.000030041e+01
1689104243.7761025, 24.074, 53.098, 1.000018692e+01
1689104245.194492, 24.074, 53.121, 1.000032330e+01
1689104246.6130936, 24.072, 53.142, 1.000019169e+01
1689104248.031509, 24.086, 53.159, 1.000014305e+01
1689104249.4498477, 24.087, 53.171, 1.000017834e+01
1689104250.8683386, 24.081, 53.19, 1.000031471e+01
1689104252.2868538, 24.092, 53.215, 1.000019550e+01
1689104253.7052019, 24.089, 53.239, 1.000020218e+01
1689104255.123731, 24.092, 53.258, 1.000014496e+01
1689104256.5421984, 24.103, 53.277, 1.000019360e+01
1689104257.9605417, 24.106, 53.285, 1.000022697e+01
1689104259.3790674, 24.101, 53.305, 1.000024700e+01
1689104260.7975333, 24.104, 53.324, 1.000039196e+01
1689104262.2160323, 24.11, 53.339, 1.000018311e+01
1689104263.6344159, 24.116, 53.355, 1.000031185e+01
1689104265.052932, 24.109, 53.377, 1.000047779e+01
1689104266.471433, 24.121, 53.393, 1.000050831e+01
1689104267.8899918, 24.112, 53.413, 1.000051117e+01
1689104269.3082747, 24.11, 53.433, 1.000038242e+01
1689104270.7268074, 24.123, 53.45, 1.000037670e+01
1689104272.145146, 24.12, 53.471, 1.000057888e+01
1689104273.5638297, 24.126, 53.489, 1.000054932e+01
1689104274.982135, 24.136, 53.51, 1.000058079e+01
1689104276.4006612, 24.132, 53.52, 1.000045013e+01
1689104277.8190377, 24.136, 53.535, 1.000045204e+01
1689104279.237519, 24.135, 53.552, 1.000032425e+01
1689104280.6563442, 24.142, 53.555, 1.000030613e+01
1689104282.0743506, 24.139, 53.566, 1.000040340e+01
1689104283.4927893, 24.15, 53.576, 1.000049496e+01
1689104284.9113748, 24.152, 53.587, 1.000035954e+01
1689104286.3297224, 24.147, 53.592, 1.000032806e+01
1689104287.7482097, 24.147, 53.59, 1.000016975e+01
1689104289.1667118, 24.155, 53.589, 1.000014687e+01
1689104290.5850916, 24.158, 53.593, 9.999778748e+00
1689104292.0036454, 24.158, 53.587, 9.999684334e+00
1689104293.4220257, 24.158, 53.578, 9.999691963e+00
1689104294.8411424, 24.167, 53.58, 9.999792099e+00
1689104296.2589295, 24.165, 53.572, 9.999895096e+00
1689104297.677436, 24.159, 53.574, 9.999914169e+00
1689104299.0960886, 24.165, 53.563, 9.999795914e+00
1689104300.5145133, 24.172, 53.561, 9.999818802e+00
1689104301.9328196, 24.17, 53.559, 9.999920845e+00
1689104303.351281, 24.176, 53.545, 9.999943733e+00
1689104304.7696164, 24.172, 53.546, 9.999960899e+00
1689104306.1883402, 24.173, 53.54, 9.999855995e+00
1689104307.6066628, 24.179, 53.539, 1.000045967e+01
1689104309.025191, 24.182, 53.539, 1.000023174e+01
1689104310.4434786, 24.178, 53.527, 1.000038052e+01
1689104311.8620045, 24.184, 53.531, 1.000029659e+01
1689104313.2803626, 24.193, 53.527, 1.000041962e+01
1689104314.698845, 24.188, 53.521, 1.000034809e+01
1689104316.1173904, 24.188, 53.518, 1.000047112e+01
1689104317.535896, 24.196, 53.519, 1.000036907e+01
1689104318.954232, 24.198, 53.52, 1.000069618e+01
1689104320.3727078, 24.199, 53.514, 1.000057316e+01
1689104321.7912583, 24.198, 53.517, 1.000044918e+01
1689104323.2095616, 24.207, 53.516, 1.000044060e+01
1689104324.628145, 24.202, 53.521, 1.000055122e+01
1689104326.046593, 24.207, 53.517, 1.000069427e+01
1689104327.4649217, 24.21, 53.519, 1.000044823e+01
1689104328.8834348, 24.213, 53.53, 1.000066471e+01
1689104330.3019352, 24.205, 53.539, 1.000041008e+01
1689104331.7204945, 24.224, 53.541, 1.000048828e+01
1689104333.1388214, 24.224, 53.54, 1.000047588e+01
1689104334.5574787, 24.224, 53.541, 1.000056934e+01
1689104335.9757814, 24.222, 53.547, 1.000032330e+01
1689104337.3942115, 24.233, 53.544, 1.000030804e+01
1689104338.8128488, 24.231, 53.551, 1.000040817e+01
1689104340.2313545, 24.225, 53.547, 1.000025940e+01
1689104341.6495092, 24.233, 53.551, 1.000025749e+01
1689104343.0681956, 24.239, 53.547, 1.000038528e+01
1689104344.4865315, 24.248, 53.543, 1.000047874e+01
1689104345.9048636, 24.242, 53.545, 1.000036812e+01
1689104347.323551, 24.251, 53.551, 1.000037098e+01
1689104348.7418218, 24.253, 53.542, 1.000046921e+01
1689104350.160386, 24.251, 53.539, 1.000004578e+01
1689104351.5786827, 24.251, 53.537, 1.000001812e+01
1689104352.9972067, 24.259, 53.54, 1.000014210e+01
1689104354.4157307, 24.262, 53.532, 1.000005341e+01
1689104355.8341455, 24.26, 53.526, 1.000008011e+01
1689104357.2525806, 24.26, 53.518, 1.000009727e+01
1689104358.6712375, 24.27, 53.526, 1.000002289e+01
1689104360.0896144, 24.267, 53.522, 1.000002861e+01
1689104361.5078928, 24.277, 53.514, 1.000006676e+01
1689104362.9263954, 24.267, 53.517, 1.000008011e+01
1689104364.3452933, 24.277, 53.514, 1.000033092e+01
1689104365.7633114, 24.279, 53.516, 1.000068760e+01
1689104367.1817944, 24.288, 53.505, 1.000081921e+01
1689104368.6005352, 24.279, 53.51, 1.000068092e+01
1689104370.0190625, 24.285, 53.507, 1.000068092e+01
1689104371.43719, 24.287, 53.502, 1.000068951e+01
1689104372.8556864, 24.285, 53.502, 1.000079346e+01
1689104374.2743554, 24.299, 53.501, 1.000079536e+01
1689104375.6925058, 24.294, 53.493, 1.000057316e+01
1689104377.1110206, 24.288, 53.496, 1.000055027e+01
1689104378.5294895, 24.299, 53.493, 1.000066662e+01
1689104379.9478738, 24.3, 53.493, 1.000052261e+01
1689104381.366372, 24.296, 53.483, 1.000022888e+01
1689104382.7848966, 24.311, 53.485, 1.000029182e+01
1689104384.2033687, 24.309, 53.485, 1.000026321e+01
1689104385.62171, 24.302, 53.484, 1.000037575e+01
1689104387.040196, 24.311, 53.489, 1.000021362e+01
1689104388.458751, 24.291, 53.49, 1.000009537e+01
1689104389.877107, 24.309, 53.489, 1.000008011e+01
1689104391.2956176, 24.303, 53.489, 1.000009823e+01
1689104392.7139463, 24.322, 53.492, 1.000010204e+01
1689104394.132422, 24.305, 53.493, 1.000018883e+01
1689104395.5509756, 24.313, 53.499, 1.000019455e+01
1689104396.969498, 24.311, 53.491, 1.000025749e+01
1689104398.387807, 24.314, 53.498, 1.000025749e+01
1689104399.806291, 24.32, 53.501, 1.000015068e+01
1689104401.225024, 24.326, 53.494, 1.000025177e+01
1689104402.6431653, 24.322, 53.49, 1.000026417e+01
1689104404.0616808, 24.329, 53.486, 1.000017452e+01
1689104405.48019, 24.325, 53.492, 1.000043774e+01
1689104406.898503, 24.328, 53.494, 1.000034142e+01
1689104408.3170052, 24.331, 53.497, 1.000025558e+01
1689104409.73559, 24.329, 53.496, 1.000038528e+01
1689104411.154104, 24.331, 53.494, 1.000029182e+01
1689104412.5723217, 24.331, 53.496, 1.000059509e+01
1689104413.9908743, 24.336, 53.492, 1.000061512e+01
1689104415.4093812, 24.336, 53.505, 1.000050163e+01
1689104416.827662, 24.342, 53.502, 1.000063229e+01
1689104418.2462564, 24.334, 53.499, 1.000051022e+01
1689104419.6648977, 24.343, 53.497, 1.000046539e+01
1689104421.0832667, 24.346, 53.501, 1.000051975e+01
1689104422.5015526, 24.343, 53.498, 1.000049973e+01
1689104423.920311, 24.351, 53.501, 1.000038433e+01
1689104425.338627, 24.351, 53.499, 1.000041008e+01
1689104426.7569416, 24.348, 53.503, 1.000063515e+01
1689104428.1754365, 24.349, 53.496, 1.000062275e+01
1689104429.5939686, 24.36, 53.503, 1.000058651e+01
1689104431.012375, 24.36, 53.504, 1.000044632e+01
1689104432.4307933, 24.366, 53.505, 1.000054169e+01
1689104433.8495882, 24.371, 53.497, 1.000040340e+01
1689104435.2678149, 24.372, 53.497, 1.000036240e+01
1689104436.6862519, 24.378, 53.496, 1.000046349e+01
1689104438.1046815, 24.375, 53.492, 1.000056076e+01
1689104439.523215, 24.372, 53.491, 1.000046444e+01
1689104440.941514, 24.378, 53.49, 1.000034714e+01
1689104442.3600237, 24.385, 53.486, 1.000046444e+01
1689104443.7785542, 24.38, 53.482, 1.000028324e+01
1689104445.1970696, 24.392, 53.489, 1.000017166e+01
1689104446.615408, 24.392, 53.477, 1.000008869e+01
1689104448.0338852, 24.397, 53.477, 1.000013638e+01
1689104449.4523916, 24.398, 53.477, 1.000001717e+01
1689104450.8709085, 24.4, 53.474, 1.000002098e+01
1689104452.2894607, 24.404, 53.458, 1.000029469e+01
1689104453.707778, 24.404, 53.46, 1.000020313e+01
1689104455.1263146, 24.417, 53.452, 1.000023365e+01
1689104456.5448825, 24.409, 53.448, 1.000027370e+01
1689104457.963319, 24.409, 53.442, 1.000018311e+01
1689104459.3816173, 24.417, 53.446, 1.000068951e+01
1689104460.800149, 24.415, 53.447, 1.000072193e+01
1689104462.2186415, 24.417, 53.443, 1.000062275e+01
1689104463.6371374, 24.426, 53.434, 1.000062561e+01
1689104465.0555167, 24.42, 53.428, 1.000050259e+01
1689104466.473979, 24.424, 53.431, 1.000061703e+01
1689104467.8924897, 24.421, 53.433, 1.000049210e+01
1689104469.3108346, 24.42, 53.434, 1.000063610e+01
1689104470.7295702, 24.429, 53.433, 1.000062084e+01
1689104472.1479056, 24.429, 53.424, 1.000049782e+01
1689104473.5663612, 24.427, 53.431, 1.000074291e+01
1689104474.984791, 24.426, 53.424, 1.000055981e+01
1689104476.4032235, 24.429, 53.421, 1.000062752e+01
1689104477.821746, 24.432, 53.422, 1.000035667e+01
1689104479.2402685, 24.44, 53.424, 1.000046825e+01
1689104480.658556, 24.44, 53.418, 1.000033951e+01
1689104482.0770853, 24.429, 53.413, 1.000042629e+01
1689104483.4955726, 24.438, 53.417, 1.000039196e+01
1689104484.9139113, 24.438, 53.42, 1.000030708e+01
1689104486.3324468, 24.435, 53.423, 1.000034523e+01
1689104487.7512538, 24.441, 53.422, 1.000027180e+01
1689104489.1693077, 24.438, 53.423, 1.000032616e+01
1689104490.587758, 24.441, 53.429, 1.000021553e+01
1689104492.0063705, 24.437, 53.418, 1.000014687e+01
1689104493.4245968, 24.441, 53.42, 1.000039387e+01
1689104494.843134, 24.449, 53.422, 1.000021458e+01
1689104496.2618709, 24.447, 53.424, 1.000028801e+01
1689104497.6802447, 24.443, 53.432, 1.000026703e+01
1689104499.0985436, 24.441, 53.426, 1.000025558e+01
1689104500.517021, 24.446, 53.431, 1.000041199e+01
1689104501.9355419, 24.441, 53.426, 1.000030613e+01
1689104503.3538823, 24.444, 53.428, 1.000022030e+01
1689104504.7726092, 24.449, 53.431, 1.000049210e+01
1689104506.1909366, 24.441, 53.431, 1.000013256e+01
1689104507.609471, 24.447, 53.435, 1.000039291e+01
1689104509.027754, 24.452, 53.436, 1.000028896e+01
1689104510.4462333, 24.454, 53.433, 1.000031757e+01
1689104511.8647509, 24.452, 53.445, 1.000032711e+01
1689104513.283074, 24.455, 53.433, 1.000046730e+01
1689104514.701599, 24.457, 53.442, 1.000034904e+01
1689104516.1203182, 24.466, 53.435, 1.000022316e+01
1689104517.5384479, 24.467, 53.441, 1.000022507e+01
1689104518.9569545, 24.472, 53.43, 1.000033665e+01
1689104520.3754263, 24.476, 53.422, 1.000022888e+01
1689104521.79396, 24.48, 53.429, 1.000047779e+01
1689104523.2125483, 24.481, 53.431, 1.000059128e+01
1689104524.6308317, 24.484, 53.426, 1.000069332e+01
1689104526.0493262, 24.487, 53.421, 1.000055218e+01
1689104527.46766, 24.487, 53.425, 1.000053310e+01
1689104528.8862538, 24.498, 53.417, 1.000062466e+01
1689104530.3046713, 24.498, 53.416, 1.000060081e+01
1689104531.7230036, 24.496, 53.414, 1.000034618e+01
1689104533.1415212, 24.509, 53.414, 1.000043392e+01
1689104534.5600312, 24.512, 53.416, 1.000041294e+01
1689104535.9784539, 24.512, 53.411, 1.000028992e+01
1689104537.396883, 24.509, 53.41, 1.000027847e+01
1689104538.8154469, 24.513, 53.416, 1.000023842e+01
1689104540.2337325, 24.518, 53.413, 1.000013351e+01
1689104541.652186, 24.521, 53.406, 1.000026894e+01
1689104543.070769, 24.524, 53.4, 1.000036621e+01
1689104544.4892604, 24.529, 53.394, 1.000036621e+01
1689104545.9075935, 24.532, 53.39, 1.000036621e+01
1689104547.3260841, 24.535, 53.397, 1.000027275e+01
1689104548.744611, 24.539, 53.39, 1.000038147e+01
1689104550.162956, 24.535, 53.39, 1.000029850e+01
1689104551.5814593, 24.542, 53.386, 1.000032043e+01
1689104552.9999547, 24.544, 53.376, 1.000017929e+01
1689104554.4182525, 24.544, 53.382, 1.000030804e+01
1689104555.8368175, 24.552, 53.38, 1.000022030e+01
1689104557.2555645, 24.555, 53.381, 1.000037861e+01
1689104558.6738207, 24.555, 53.374, 1.000028515e+01
1689104560.0921867, 24.559, 53.372, 1.000043011e+01
1689104561.5106294, 24.553, 53.376, 1.000053978e+01
1689104562.9292016, 24.555, 53.374, 1.000040627e+01
1689104564.347876, 24.562, 53.376, 1.000052357e+01
1689104565.7661142, 24.565, 53.368, 1.000028801e+01
1689104567.1846328, 24.567, 53.37, 1.000029945e+01
1689104568.6030765, 24.559, 53.37, 1.000058842e+01
1689104570.021417, 24.564, 53.37, 1.000065041e+01
1689104571.4399016, 24.576, 53.373, 1.000076389e+01
1689104572.8584719, 24.584, 53.372, 1.000052071e+01
1689104574.2767458, 24.578, 53.369, 1.000072193e+01
1689104575.695262, 24.582, 53.364, 1.000053310e+01
1689104577.1137638, 24.584, 53.363, 1.000069427e+01
1689104578.532038, 24.585, 53.371, 1.000043011e+01
1689104579.950616, 24.59, 53.363, 1.000052929e+01
1689104581.3691432, 24.591, 53.358, 1.000038242e+01
1689104582.7876377, 24.599, 53.359, 1.000041962e+01
1689104584.2059867, 24.593, 53.352, 1.000003338e+01
1689104585.6245058, 24.598, 53.348, 1.000015354e+01
1689104587.0431826, 24.608, 53.348, 1.000014496e+01
1689104588.4618223, 24.613, 53.346, 1.000005531e+01
1689104589.8800786, 24.61, 53.345, 1.000004673e+01
1689104591.2983549, 24.614, 53.336, 1.000005054e+01
1689104592.7168684, 24.625, 53.341, 9.999719620e+00
1689104594.135425, 24.621, 53.328, 9.999831200e+00
1689104595.553694, 24.627, 53.332, 9.999600410e+00
1689104596.9721982, 24.631, 53.328, 9.999715805e+00
1689104598.390542, 24.624, 53.314, 9.999851227e+00
1689104599.8091066, 24.64, 53.314, 9.999794006e+00
1689104601.2275264, 24.647, 53.31, 9.999933243e+00
1689104602.6461203, 24.647, 53.304, 9.999963760e+00
1689104604.064416, 24.65, 53.304, 9.999942780e+00
1689104605.482921, 24.647, 53.301, 9.999910355e+00
1689104606.9014673, 24.654, 53.297, 1.000050831e+01
1689104608.3199408, 24.656, 53.293, 1.000041294e+01
1689104609.738263, 24.663, 53.296, 1.000028038e+01
1689104611.1567655, 24.66, 53.291, 1.000051689e+01
1689104612.5752437, 24.654, 53.302, 1.000050926e+01
1689104613.9936426, 24.663, 53.297, 1.000039101e+01
1689104615.4121525, 24.659, 53.298, 1.000043774e+01
1689104616.8306646, 24.666, 53.299, 1.000043869e+01
1689104618.2491767, 24.666, 53.3, 1.000055790e+01
1689104619.6676586, 24.68, 53.301, 1.000032234e+01
1689104621.0859814, 24.679, 53.292, 1.000043201e+01
1689104622.5047035, 24.68, 53.293, 1.000043106e+01
1689104623.9233458, 24.68, 53.286, 1.000038815e+01
1689104625.3413658, 24.688, 53.286, 1.000037479e+01
1689104626.7598774, 24.685, 53.28, 1.000028992e+01
1689104628.178376, 24.688, 53.277, 1.000020790e+01
1689104629.597156, 24.694, 53.276, 1.000029755e+01
1689104631.015243, 24.697, 53.264, 1.000020695e+01
1689104632.4336793, 24.709, 53.264, 1.000029850e+01
1689104633.8522663, 24.703, 53.256, 1.000020599e+01
1689104635.2706017, 24.708, 53.254, 1.000018883e+01
1689104636.6894708, 24.712, 53.259, 1.000007343e+01
1689104638.1076355, 24.706, 53.252, 1.000013161e+01
1689104639.5259223, 24.714, 53.252, 1.000017452e+01
1689104640.9444299, 24.711, 53.247, 1.000029945e+01
1689104642.3629837, 24.714, 53.234, 1.000020027e+01
1689104643.7815385, 24.722, 53.232, 1.000007153e+01
1689104645.1998053, 24.725, 53.229, 1.000031567e+01
1689104646.618331, 24.731, 53.222, 1.000015736e+01
1689104648.0366676, 24.732, 53.211, 1.000008392e+01
1689104649.4551606, 24.728, 53.212, 1.000009823e+01
1689104650.873622, 24.735, 53.212, 1.000012398e+01
1689104652.2921777, 24.734, 53.201, 1.000026989e+01
1689104653.7105184, 24.738, 53.2, 1.000032043e+01
1689104655.1290047, 24.737, 53.193, 1.000020599e+01
1689104656.5475352, 24.742, 53.203, 1.000012875e+01
1689104657.965858, 24.737, 53.196, 1.000013447e+01
1689104659.3844008, 24.748, 53.191, 1.000012016e+01
1689104660.8028898, 24.74, 53.188, 1.000035095e+01
1689104662.2212062, 24.749, 53.19, 1.000067425e+01
1689104663.639717, 24.745, 53.179, 1.000055218e+01
1689104665.0582435, 24.737, 53.177, 1.000067520e+01
1689104666.4767025, 24.751, 53.167, 1.000057316e+01
1689104667.8950942, 24.752, 53.168, 1.000068474e+01
1689104669.3136623, 24.751, 53.161, 1.000070286e+01
1689104670.732092, 24.749, 53.145, 1.000055885e+01
1689104672.150653, 24.748, 53.144, 1.000064850e+01
1689104673.5689409, 24.746, 53.14, 1.000062084e+01
1689104674.9874442, 24.752, 53.135, 1.000058842e+01
1689104676.405971, 24.751, 53.138, 1.000057507e+01
1689104677.82447, 24.758, 53.122, 1.000016499e+01
1689104679.2428017, 24.754, 53.13, 1.000023365e+01
1689104680.6615353, 24.755, 53.126, 1.000009823e+01
1689104682.0798197, 24.749, 53.113, 1.000034904e+01
1689104683.4981627, 24.752, 53.11, 1.000009441e+01
1689104684.916687, 24.763, 53.111, 1.000009918e+01
1689104686.335402, 24.757, 53.111, 1.000020981e+01
1689104687.7535238, 24.754, 53.113, 1.000032711e+01
1689104689.1720471, 24.755, 53.098, 1.000010109e+01
1689104690.5905113, 24.751, 53.098, 1.000010109e+01
1689104692.0092707, 24.746, 53.09, 1.000019836e+01
1689104693.4273584, 24.751, 53.08, 1.000023651e+01
1689104694.8459065, 24.755, 53.083, 1.000015354e+01
1689104696.2644162, 24.749, 53.072, 1.000017357e+01
1689104697.6829102, 24.752, 53.073, 1.000033379e+01
1689104699.1012764, 24.751, 53.069, 1.000029087e+01
1689104700.5200233, 24.749, 53.066, 1.000025177e+01
1689104701.9383001, 24.751, 53.06, 1.000052929e+01
1689104703.356621, 24.751, 53.056, 1.000030708e+01
1689104704.7750735, 24.752, 53.054, 1.000043488e+01
1689104706.1936605, 24.765, 53.057, 1.000058174e+01
1689104707.6119978, 24.761, 53.049, 1.000035000e+01
1689104709.0304945, 24.765, 53.053, 1.000053692e+01
1689104710.4489532, 24.754, 53.049, 1.000064468e+01
1689104711.8674855, 24.748, 53.043, 1.000054741e+01
1689104713.2858431, 24.751, 53.042, 1.000075245e+01
1689104714.7043707, 24.757, 53.042, 1.000053310e+01
1689104716.1231093, 24.743, 53.041, 1.000065422e+01
1689104717.5413501, 24.754, 53.035, 1.000066662e+01
1689104718.959748, 24.751, 53.029, 1.000066853e+01
1689104720.37835, 24.752, 53.029, 1.000050259e+01
1689104721.7967677, 24.745, 53.02, 1.000054836e+01
1689104723.2150843, 24.749, 53.02, 1.000057507e+01
1689104724.6335852, 24.749, 53.018, 1.000040340e+01
1689104726.0520766, 24.742, 53.006, 1.000039577e+01
1689104727.4704843, 24.746, 53.011, 1.000038147e+01
1689104728.8889446, 24.745, 53.006, 1.000045204e+01
1689104730.3074455, 24.746, 53.0, 1.000042534e+01
1689104731.725707, 24.749, 52.99, 1.000031757e+01
1689104733.144284, 24.751, 52.993, 1.000043011e+01
1689104734.5627928, 24.737, 52.981, 1.000032139e+01
1689104735.9812825, 24.743, 52.972, 1.000043201e+01
1689104737.3998082, 24.743, 52.966, 1.000022316e+01
1689104738.8183525, 24.748, 52.959, 1.000031281e+01
1689104740.2366498, 24.746, 52.952, 1.000015068e+01
1689104741.6551597, 24.738, 52.941, 1.000015068e+01
1689104743.0736785, 24.738, 52.94, 1.000002766e+01
1689104744.4919708, 24.737, 52.928, 1.000006390e+01
1689104745.9105399, 24.731, 52.923, 1.000019932e+01
1689104747.3290305, 24.729, 52.915, 1.000034809e+01
1689104748.74758, 24.728, 52.903, 1.000024414e+01
1689104750.1658785, 24.723, 52.889, 1.000039959e+01
1689104751.584344, 24.723, 52.891, 1.000018120e+01
1689104753.002972, 24.719, 52.885, 1.000032520e+01
1689104754.4213486, 24.719, 52.88, 1.000035572e+01
1689104755.8397212, 24.719, 52.881, 1.000054073e+01
1689104757.2582664, 24.72, 52.883, 1.000054359e+01
1689104758.676835, 24.725, 52.887, 1.000054550e+01
1689104760.0952075, 24.719, 52.878, 1.000055027e+01
1689104761.5135956, 24.706, 52.875, 1.000054264e+01
1689104762.93219, 24.709, 52.883, 1.000048542e+01
1689104764.3506174, 24.708, 52.885, 1.000042725e+01
1689104765.7691514, 24.703, 52.875, 1.000043774e+01
1689104767.1874812, 24.702, 52.886, 1.000053501e+01
1689104768.605986, 24.699, 52.879, 1.000053787e+01
1689104770.0244887, 24.697, 52.883, 1.000038624e+01
1689104771.4429855, 24.697, 52.878, 1.000035954e+01
1689104772.861356, 24.703, 52.878, 1.000044632e+01
1689104774.2798474, 24.703, 52.881, 1.000042629e+01
1689104775.6983733, 24.693, 52.866, 1.000051498e+01
1689104777.1170862, 24.7, 52.88, 1.000026703e+01
1689104778.5351675, 24.702, 52.883, 1.000046635e+01
1689104779.953721, 24.702, 52.879, 1.000022602e+01
1689104781.372247, 24.7, 52.868, 1.000030613e+01
1689104782.7907183, 24.699, 52.867, 1.000034809e+01
1689104784.209068, 24.694, 52.869, 1.000022602e+01
1689104785.6276057, 24.697, 52.862, 1.000033951e+01
1689104787.0463026, 24.689, 52.862, 1.000014400e+01
1689104788.464587, 24.697, 52.863, 1.000013828e+01
1689104789.8829246, 24.702, 52.874, 1.000013256e+01
1689104791.3014426, 24.7, 52.863, 1.000013542e+01
1689104792.7199626, 24.7, 52.862, 1.000003624e+01
1689104794.13847, 24.696, 52.862, 1.000008678e+01
1689104795.5568035, 24.694, 52.862, 1.000008869e+01
1689104796.9753141, 24.699, 52.859, 1.000023842e+01
1689104798.3938878, 24.693, 52.849, 1.000026608e+01
1689104799.8123288, 24.688, 52.853, 1.000030422e+01
1689104801.2306764, 24.682, 52.849, 1.000042915e+01
1689104802.6491606, 24.682, 52.842, 1.000038528e+01
1689104804.0676823, 24.674, 52.841, 1.000063705e+01
1689104805.4861841, 24.67, 52.848, 1.000051022e+01
1689104806.9048269, 24.67, 52.843, 1.000062847e+01
1689104808.3230586, 24.67, 52.858, 1.000052738e+01
1689104809.7415545, 24.676, 52.855, 1.000052357e+01
1689104811.1600628, 24.68, 52.865, 1.000039959e+01
1689104812.5783827, 24.676, 52.862, 1.000052166e+01
1689104813.9968948, 24.67, 52.854, 1.000062370e+01
1689104815.4154053, 24.665, 52.862, 1.000039768e+01
1689104816.8336804, 24.663, 52.853, 1.000037766e+01
1689104818.2524981, 24.663, 52.853, 1.000048542e+01
1689104819.6708426, 24.653, 52.853, 1.000058556e+01
1689104821.0895066, 24.657, 52.851, 1.000044346e+01
1689104822.5078423, 24.659, 52.847, 1.000050640e+01
1689104823.9261625, 24.662, 52.848, 1.000038052e+01
1689104825.3446538, 24.668, 52.841, 1.000040627e+01
1689104826.763152, 24.653, 52.839, 1.000047398e+01
1689104828.1815019, 24.653, 52.842, 1.000037193e+01
1689104829.599933, 24.656, 52.832, 1.000055695e+01
