t, ref_c, humidity, v
1689102921.773293, 24.293, 53.059, 1.000048065e+01
1689102923.1916263, 24.302, 53.05, 1.000034046e+01
1689102924.6101282, 24.296, 53.038, 1.000055599e+01
1689102926.028647, 24.291, 53.042, 1.000040627e+01
1689102927.4469888, 24.291, 53.037, 1.000051403e+01
1689102928.865508, 24.285, 53.037, 1.000039864e+01
1689102930.2840052, 24.282, 53.037, 1.000014591e+01
1689102931.7022943, 24.282, 53.04, 1.000023365e+01
1689102933.120787, 24.283, 53.033, 1.000023460e+01
1689102934.53932, 24.277, 53.033, 1.000012207e+01
1689102935.957824, 24.279, 53.03, 1.000024986e+01
1689102937.376232, 24.287, 53.032, 1.000025272e+01
1689102938.7946563, 24.288, 53.037, 1.000023651e+01
1689102940.2131696, 24.283, 53.028, 1.000037193e+01
1689102941.6315005, 24.288, 53.02, 1.000016212e+01
1689102943.0499935, 24.277, 53.022, 1.000030518e+01
1689102944.4685817, 24.279, 53.008, 1.000020218e+01
1689102945.88687, 24.28, 53.008, 1.000023174e+01
1689102947.3054113, 24.273, 53.014, 1.000024700e+01
1689102948.7238965, 24.28, 53.011, 1.000038910e+01
1689102950.1421921, 24.273, 53.01, 1.000053215e+01
1689102951.5607343, 24.271, 53.007, 1.000032043e+01
1689102952.9792151, 24.27, 53.012, 1.000044346e+01
1689102954.397577, 24.274, 53.004, 1.000043678e+01
1689102955.8160443, 24.277, 53.009, 1.000056934e+01
1689102957.2345672, 24.279, 53.01, 1.000045490e+01
1689102958.6530573, 24.271, 52.997, 1.000033569e+01
1689102960.0714831, 24.274, 52.997, 1.000038910e+01
1689102961.4898958, 24.26, 52.985, 1.000043106e+01
1689102962.9085183, 24.256, 52.973, 1.000056553e+01
1689102964.3268893, 24.259, 52.969, 1.000030041e+01
1689102965.745252, 24.259, 52.963, 1.000052834e+01
1689102967.163759, 24.26, 52.955, 1.000024414e+01
1689102968.5822968, 24.251, 52.946, 1.000022030e+01
1689102970.0006006, 24.247, 52.94, 1.000042534e+01
1689102971.4191153, 24.242, 52.933, 1.000018120e+01
1689102972.8376036, 24.236, 52.927, 1.000037384e+01
1689102974.2559488, 24.228, 52.915, 1.000023365e+01
1689102975.6744237, 24.233, 52.913, 1.000012493e+01
1689102977.0929615, 24.237, 52.908, 1.000024605e+01
1689102978.5112832, 24.228, 52.901, 1.000023842e+01
