t,ref_c,humidity,dmm_c,r_ohm
1689567810.6424406,24.066,55.289,37.8771,9.999845137E+04
1689567813.2824214,24.066,55.288,37.8771,9.999847664E+04
1689567814.494639,24.07,55.285,37.875,9.999849925E+04
1689567815.7064059,24.07,55.285,37.875,9.999847641E+04
1689567816.9183242,24.074,55.295,37.875,9.999849960E+04
1689567818.1307788,24.072,55.296,37.875,9.999709117E+04
1689567819.342717,24.074,55.308,37.875,9.999842554E+04
1689567820.5716865,24.07,55.307,37.875,9.999862887E+04
1689567821.9900632,24.072,55.312,37.875,9.999835026E+04
1689567823.4084451,24.069,55.308,37.874,1.000017744E+05
1689567824.8269217,24.074,55.308,37.874,9.999845049E+04
1689567826.2454748,24.066,55.313,37.874,1.000011703E+05
1689567827.6644244,24.064,55.313,37.874,9.999912139E+04
1689567829.0823946,24.07,55.312,37.874,9.999833056E+04
1689567830.5009613,24.075,55.32,37.8733,9.999845101E+04
1689567831.9193764,24.064,55.317,37.8733,9.999849990E+04
1689567833.3378701,24.07,55.316,37.8733,9.999848589E+04
1689567834.7562423,24.07,55.321,37.8733,9.999847775E+04
1689567836.174671,24.067,55.332,37.8733,9.999851634E+04
1689567837.5933645,24.061,55.327,37.8733,9.999852448E+04
1689567839.011617,24.064,55.324,37.8719,9.999843650E+04
1689567840.430334,24.066,55.326,37.8719,9.999850918E+04
1689567841.8485851,24.067,55.329,37.8719,9.999842992E+04
1689567843.2670891,24.067,55.329,37.8719,9.999850139E+04
1689567844.6854005,24.063,55.332,37.8719,9.999839929E+04
1689567846.1036892,24.066,55.327,37.8711,9.999839376E+04
1689567847.522326,24.066,55.324,37.8711,9.999842387E+04
1689567848.9407725,24.06,55.333,37.8711,9.999847941E+04
1689567850.359421,24.067,55.334,37.8711,9.999846107E+04
1689567851.7776272,24.069,55.332,37.8711,9.999849482E+04
1689567853.1960638,24.055,55.331,37.8699,9.999853912E+04
1689567854.614681,24.069,55.331,37.8699,9.999853439E+04
1689567856.0329006,24.064,55.331,37.8699,9.999850792E+04
1689567857.4516544,24.066,55.339,37.8699,9.999847919E+04
1689567858.8702126,24.06,55.336,37.8699,9.999851432E+04
1689567860.2887738,24.067,55.331,37.8699,9.999846189E+04
1689567861.7068439,24.067,55.332,37.8691,9.999839257E+04
1689567863.1256776,24.063,55.335,37.8691,9.999842684E+04
1689567864.5439405,24.06,55.331,37.8691,9.999841247E+04
1689567865.9623177,24.064,55.325,37.8691,9.999843947E+04
1689567867.3809316,24.058,55.329,37.8691,9.999837890E+04
1689567868.7992551,24.078,55.329,37.8679,9.999827394E+04
1689567870.2178123,24.061,55.323,37.8679,9.999713823E+04
1689567871.6363022,24.066,55.322,37.8679,9.999845650E+04
1689567873.0545406,24.063,55.324,37.8679,9.999816094E+04
1689567874.4729874,24.07,55.327,37.8679,9.999808947E+04
1689567875.8914921,24.063,55.319,37.867,9.999784565E+04
1689567877.310023,24.069,55.32,37.867,9.999956852E+04
1689567878.7284591,24.067,55.321,37.867,9.999825579E+04
1689567880.1469276,24.061,55.315,37.867,9.999841984E+04
1689567881.5652378,24.063,55.321,37.867,9.999846501E+04
1689567882.9839256,24.064,55.314,37.867,9.999837675E+04
1689567884.4022071,24.066,55.313,37.8663,9.999843723E+04
1689567885.8205934,24.063,55.311,37.8663,9.999854590E+04
1689567887.23913,24.067,55.31,37.8663,9.999855455E+04
1689567888.6575437,24.066,55.31,37.8663,9.999847634E+04
1689567890.0761921,24.063,55.314,37.8663,9.999848932E+04
1689567891.4946177,24.066,55.312,37.8651,9.999846678E+04
1689567892.9128356,24.064,55.315,37.8651,9.999848063E+04
1689567894.331581,24.07,55.31,37.8651,9.999836226E+04
1689567895.750251,24.061,55.309,37.8651,9.999838528E+04
1689567897.1687372,24.063,55.314,37.8651,9.999843961E+04
1689567898.5869951,24.063,55.314,37.8646,9.999840466E+04
1689567900.0055468,24.063,55.31,37.8646,9.999842957E+04
1689567901.4239392,24.064,55.308,37.8646,9.999854101E+04
1689567902.8420467,24.067,55.308,37.8646,9.999849654E+04
1689567904.2605333,24.067,55.307,37.8646,9.999855191E+04
1689567905.6793187,24.058,55.307,37.8646,9.999857112E+04
1689567907.097674,24.066,55.308,37.8634,9.999850149E+04
1689567908.5160668,24.066,55.31,37.8634,9.999850962E+04
1689567909.9345543,24.064,55.304,37.8634,9.999858040E+04
1689567911.352898,24.067,55.311,37.8634,9.999843971E+04
1689567912.7712262,24.061,55.31,37.8634,9.999843642E+04
1689567914.189685,24.057,55.298,37.8625,9.999853927E+04
1689567915.608552,24.063,55.309,37.8625,9.999841226E+04
1689567917.026862,24.063,55.304,37.8625,9.999851660E+04
1689567918.4453888,24.054,55.301,37.8625,9.999851556E+04
1689567919.8636208,24.064,55.31,37.8625,9.999855710E+04
1689567921.2819874,24.066,55.308,37.862,9.999852456E+04
1689567922.700528,24.063,55.311,37.862,9.999844116E+04
1689567924.1190236,24.06,55.307,37.862,9.999852440E+04
1689567925.537552,24.055,55.308,37.862,9.999848719E+04
1689567926.9560487,24.067,55.305,37.862,9.999861300E+04
1689567928.3746142,24.061,55.305,37.862,9.999854828E+04
1689567929.7928126,24.064,55.308,37.8606,9.999852696E+04
1689567931.2113981,24.064,55.302,37.8606,9.999850049E+04
1689567932.6297255,24.057,55.3,37.8606,9.999850118E+04
1689567934.048261,24.061,55.31,37.8606,9.999848734E+04
1689567935.466909,24.06,55.304,37.8606,9.999850187E+04
1689567936.8854587,24.064,55.308,37.8601,9.999848984E+04
1689567938.3036242,24.064,55.299,37.8601,9.999863970E+04
1689567939.7221003,24.057,55.312,37.8601,9.999855508E+04
1689567941.1408248,24.055,55.303,37.8601,9.999857048E+04
1689567942.5590832,24.057,55.303,37.8601,9.999849676E+04
1689567943.9775689,24.055,55.307,37.8591,9.999841214E+04
1689567945.3957999,24.06,55.299,37.8591,9.999851780E+04
1689567946.8144634,24.06,55.301,37.8591,9.999849219E+04
1689567948.2329514,24.061,55.297,37.8591,9.999858027E+04
1689567949.6513405,24.066,55.305,37.8591,9.999854601E+04
1689567951.069839,24.055,55.312,37.8591,9.999855898E+04
1689567952.488169,24.055,55.303,37.8585,9.999846269E+04
1689567953.9067245,24.061,55.299,37.8585,9.999846321E+04
1689567955.3250344,24.063,55.305,37.8585,9.999844348E+04
1689567956.743858,24.052,55.309,37.8585,9.999842670E+04
1689567958.1619565,24.057,55.307,37.8585,9.999845715E+04
1689567959.5805054,24.061,55.305,37.8579,9.999859493E+04
1689567960.9990737,24.047,55.297,37.8579,9.999851931E+04
1689567962.4172285,24.063,55.303,37.8579,9.999853350E+04
1689567963.8359032,24.066,55.299,37.8579,9.999846653E+04
1689567965.2542467,24.061,55.307,37.8579,9.999841340E+04
1689567966.6728587,24.063,55.293,37.8572,9.999844836E+04
1689567968.091286,24.058,55.299,37.8572,9.999845944E+04
1689567969.5096967,24.063,55.301,37.8572,9.999845737E+04
1689567970.9282885,24.064,55.295,37.8572,9.999851170E+04
1689567972.346636,24.058,55.297,37.8572,9.999847242E+04
1689567973.7649662,24.058,55.295,37.8572,9.999849855E+04
1689567975.1834826,24.066,55.299,37.8565,9.999843429E+04
1689567976.6020398,24.063,55.298,37.8565,9.999842304E+04
1689567978.020407,24.06,55.293,37.8565,9.999841162E+04
1689567979.4387693,24.063,55.302,37.8565,9.999841387E+04
1689567980.857554,24.063,55.3,37.8565,9.999860336E+04
1689567982.2758327,24.058,55.301,37.856,9.999860874E+04
1689567983.694205,24.058,55.302,37.856,9.999845075E+04
1689567985.1126738,24.057,55.298,37.856,9.999840230E+04
1689567986.5313244,24.061,55.298,37.856,9.999837755E+04
1689567987.949818,24.064,55.298,37.856,9.999839797E+04
1689567989.368271,24.06,55.302,37.8552,9.999849194E+04
1689567990.7865324,24.061,55.299,37.8552,9.999862380E+04
1689567992.2049313,24.063,55.302,37.8552,9.999856721E+04
1689567993.6236475,24.06,55.302,37.8552,9.999853485E+04
1689567995.0417519,24.061,55.299,37.8552,9.999838984E+04
1689567996.4603038,24.061,55.299,37.8552,9.999834779E+04
1689567997.8788636,24.06,55.298,37.8546,9.999843803E+04
1689567999.2972224,24.061,55.3,37.8546,9.999854999E+04
1689568000.7159188,24.06,55.298,37.8546,9.999856885E+04
1689568002.134401,24.052,55.3,37.8546,9.999853511E+04
1689568003.5528104,24.058,55.296,37.8546,9.999851088E+04
1689568004.970983,24.067,55.302,37.8541,9.999840260E+04
1689568006.389716,24.052,55.302,37.8541,9.999844326E+04
1689568007.8081913,24.061,55.305,37.8541,9.999841956E+04
1689568009.226354,24.061,55.3,37.8541,9.999854467E+04
1689568010.6450126,24.064,55.301,37.8541,9.999860835E+04
1689568012.0634964,24.06,55.304,37.8532,9.999850919E+04
1689568013.4817905,24.061,55.304,37.8532,9.999842054E+04
1689568014.9001894,24.061,55.299,37.8532,9.999848543E+04
1689568016.3187118,24.055,55.307,37.8532,9.999847886E+04
1689568017.7371633,24.06,55.3,37.8532,9.999842504E+04
1689568019.1556618,24.055,55.305,37.8532,9.999857023E+04
