t,ref_c,humidity,dmm_c,r_ohm
1689536332.6915681,24.619,56.132,38.3248,1.000021583E+02
1689536334.713685,24.614,56.128,38.3248,1.000022543E+02
1689536335.7238328,24.619,56.136,38.3248,1.000023104E+02
1689536336.9469395,24.617,56.134,38.3234,1.000022095E+02
1689536338.3653965,24.621,56.141,38.3234,1.000022889E+02
1689536339.7839427,24.622,56.137,38.3234,1.000022751E+02
1689536341.2022655,24.624,56.144,38.3234,1.000022799E+02
1689536342.6207936,24.619,56.144,38.3231,1.000022856E+02
1689536344.0392573,24.617,56.147,38.3231,1.000023341E+02
1689536345.457574,24.619,56.152,38.3231,1.000023241E+02
1689536346.8762872,24.625,56.159,38.3231,1.000021931E+02
1689536348.2948213,24.624,56.16,38.3228,1.000023018E+02
1689536349.713116,24.614,56.171,38.3228,1.000023575E+02
1689536351.131508,24.617,56.171,38.3228,1.000023345E+02
1689536352.550024,24.624,56.174,38.3228,1.000023252E+02
1689536353.9684894,24.624,56.18,38.3229,1.000023146E+02
1689536355.3868194,24.616,56.175,38.3229,1.000023162E+02
1689536356.8053267,24.619,56.184,38.3229,1.000023112E+02
1689536358.2237704,24.621,56.188,38.3229,1.000023020E+02
1689536359.6421237,24.617,56.199,38.3228,1.000023235E+02
1689536361.0606563,24.63,56.201,38.3228,1.000023126E+02
1689536362.4791431,24.624,56.206,38.3228,1.000024316E+02
1689536363.8975096,24.622,56.213,38.3228,1.000023538E+02
1689536365.3159816,24.616,56.214,38.3229,1.000023172E+02
1689536366.7346256,24.616,56.218,38.3229,1.000023875E+02
1689536368.1529138,24.628,56.22,38.3229,1.000023687E+02
1689536369.5714097,24.617,56.225,38.3229,1.000023552E+02
1689536370.9898882,24.619,56.218,38.3227,1.000023363E+02
1689536372.4082403,24.619,56.23,38.3227,1.000024284E+02
1689536373.8268142,24.627,56.241,38.3227,1.000023910E+02
1689536375.2452462,24.622,56.238,38.3227,1.000023389E+02
1689536376.6635516,24.622,56.237,38.3224,1.000023243E+02
1689536378.0820272,24.617,56.241,38.3224,1.000024327E+02
1689536379.5005777,24.628,56.243,38.3224,1.000024116E+02
1689536380.919274,24.621,56.247,38.3224,1.000023852E+02
1689536382.3375928,24.622,56.248,38.3224,1.000023478E+02
1689536383.7559204,24.622,56.254,38.3224,1.000023989E+02
1689536385.174379,24.617,56.251,38.3224,1.000024503E+02
1689536386.592798,24.621,56.254,38.3224,1.000024044E+02
1689536388.011331,24.624,56.259,38.3221,1.000023834E+02
1689536389.4298334,24.624,56.258,38.3221,1.000024066E+02
1689536390.8482728,24.622,56.268,38.3221,1.000023901E+02
1689536392.2666204,24.621,56.266,38.3221,1.000023762E+02
1689536393.6851366,24.621,56.261,38.3221,1.000023855E+02
1689536395.103697,24.621,56.265,38.3221,1.000023665E+02
1689536396.5220182,24.621,56.267,38.3221,1.000023507E+02
1689536397.940533,24.633,56.272,38.3221,1.000023827E+02
1689536399.3589995,24.614,56.27,38.3221,1.000023557E+02
